component_name,phrase,reps,phrase_component_tickets,phrase_len,reps_total,phrase_tickets,iam_users_count,tickets_per_component,importance,precision,recall,f1,row
string,string,int64,int64,int32,int64,int64,int64,int64,double,double,double,double,int32
UI,работать калькулятор,6,5,2,9,5,5,998,0.6666666666666666,1,0.00501002004008016,0.009970089730807576,2
UI,вёрстка,14,9,1,23,9,9,998,0.6086956521739131,1,0.009018036072144289,0.017874875868917575,1
api,compute api cloud,15,12,3,31,17,14,248,0.4838709677419355,0.7058823529411765,0.04838709677419355,0.09056603773584906,1
api-gateway,домен api,13,10,2,23,12,9,80,0.5652173913043478,0.8333333333333334,0.125,0.21739130434782608,2
api-gateway,docs api gateway,6,5,3,10,6,6,80,0.6,0.8333333333333334,0.0625,0.11627906976744186,3
api-gateway,apigateway,19,14,1,35,19,13,80,0.5428571428571428,0.7368421052631579,0.175,0.2828282828282828,1
app balancer,alb,12,7,1,15,9,9,40,0.8,0.7777777777777778,0.175,0.2857142857142857,3
balancer,balancer добрый,24,24,2,47,30,30,809,0.5106382978723404,0.8,0.029666254635352288,0.057210965435041714,8
balancer,internal load,20,17,2,30,21,20,809,0.6666666666666666,0.8095238095238095,0.021013597033374538,0.04096385542168675,13
balancer,адрес балансировщик,14,14,2,27,20,19,809,0.5185185185185185,0.7,0.0173053152039555,0.033775633293124246,20
balancer,создать балансировщик,15,14,2,20,15,15,809,0.75,0.9333333333333333,0.0173053152039555,0.03398058252427184,18
balancer,через балансировщик,19,17,2,37,23,21,809,0.5135135135135135,0.7391304347826086,0.021013597033374538,0.040865384615384616,14
balancer,балансировщик добрый,52,52,2,93,60,53,809,0.5591397849462365,0.8666666666666667,0.06427688504326329,0.11967779056386652,2
balancer,балансировщик для,18,18,2,30,21,21,809,0.6,0.8571428571428571,0.022249690976514216,0.043373493975903614,11
balancer,внутренний балансировщик,68,43,2,116,48,43,809,0.5862068965517241,0.8958333333333334,0.05315203955500618,0.10035005834305717,4
balancer,балансировщик нагрузка,69,41,2,121,56,49,809,0.5702479338842975,0.7321428571428571,0.05067985166872682,0.09479768786127167,5
balancer,балансировщик здравствуйте,24,24,2,33,27,26,809,0.7272727272727273,0.8888888888888888,0.029666254635352288,0.05741626794258373,7
balancer,сетевой балансировщик,36,24,2,56,27,25,809,0.6428571428571429,0.8888888888888888,0.029666254635352288,0.05741626794258373,6
billing,кредитный,699,408,1,880,459,405,7143,0.7943181818181818,0.8888888888888888,0.057118857622847546,0.1073401736385162,4
billing,списание,385,293,1,652,371,351,7143,0.5904907975460123,0.7897574123989218,0.04101917961640767,0.07798775618844823,6
billing,возврат,145,109,1,216,146,137,7143,0.6712962962962963,0.7465753424657534,0.015259694806103877,0.02990808066950199,18
billing,биллинга,694,497,1,1254,664,588,7143,0.5534290271132376,0.7484939759036144,0.06957860842783144,0.12732163443063915,2
billing,детализация,395,257,1,649,311,276,7143,0.6086286594761171,0.8263665594855305,0.03597928041439171,0.06895626509256775,9
billing,оплатить,506,446,1,825,609,556,7143,0.6133333333333333,0.7323481116584565,0.0624387512249755,0.11506707946336428,3
billing,задолженность,196,143,1,292,173,156,7143,0.6712328767123288,0.8265895953757225,0.02001959960800784,0.039092400218698746,14
billing,платёж,395,288,1,650,400,367,7143,0.6076923076923076,0.72,0.04031919361612768,0.0763621901100358,8
billing,пополнение,233,194,1,376,252,235,7143,0.6196808510638298,0.7698412698412699,0.027159456810863784,0.05246788370520623,11
billing,плательщик,172,108,1,279,153,140,7143,0.6164874551971327,0.7058823529411765,0.015119697606047878,0.029605263157894735,19
billing,долг,137,109,1,226,140,133,7143,0.6061946902654868,0.7785714285714286,0.015259694806103877,0.029932720032953452,17
billing,оплата,1725,1212,1,2988,1669,1417,7143,0.5773092369477911,0.7261833433193529,0.16967660646787064,0.2750794371311847,1
billing.antifraud,быть заблокировать доступ,19,19,3,23,22,22,1629,0.8260869565217391,0.8636363636363636,0.011663597298956415,0.02301635372501514,16
billing.antifraud,майнинг,20,19,1,30,21,20,1629,0.6666666666666666,0.9047619047619048,0.011663597298956415,0.02303030303030303,15
billing.antifraud,заблокировать доступ ваш,20,20,3,23,20,20,1629,0.8695652173913043,1,0.012277470841006752,0.02425712553062462,14
billing.antifraud,доступ ваш облачный,22,22,3,34,29,29,1629,0.6470588235294118,0.7586206896551724,0.013505217925107428,0.026537997587454766,11
billing.antifraud,блокировка платёжный,37,33,2,53,40,39,1629,0.6981132075471698,0.825,0.020257826887661142,0.039544637507489516,3
billing.antifraud,платёжный аккаунт заблокировать,35,32,3,61,45,45,1629,0.5737704918032787,0.7111111111111111,0.019643953345610803,0.038231780167264036,4
billing.antifraud,майнинга,46,41,1,76,50,49,1629,0.6052631578947368,0.82,0.025168815224063844,0.04883859440142942,1
billing.antifraud,причина блокировка аккаунт,29,26,3,44,37,37,1629,0.6590909090909091,0.7027027027027027,0.01596071209330878,0.031212484993997605,5
billing.cards,киви,41,36,1,57,40,40,885,0.7192982456140351,0.9,0.04067796610169491,0.07783783783783783,9
billing.cards,qiwi,58,52,1,73,56,55,885,0.7945205479452054,0.9285714285714286,0.05875706214689266,0.11052072263549416,4
billing.cards,3ds,41,30,1,63,40,39,885,0.6507936507936508,0.75,0.03389830508474576,0.06486486486486487,11
billing.cards,виртуальный карта,45,38,2,71,49,48,885,0.6338028169014085,0.7755102040816326,0.04293785310734463,0.08137044967880085,7
billing.cards,при привязка,90,78,2,136,100,100,885,0.6617647058823529,0.78,0.08813559322033898,0.15837563451776648,1
billing.cards,привязка карта добрый,24,24,3,39,33,32,885,0.6153846153846154,0.7272727272727273,0.02711864406779661,0.05228758169934641,16
billing.cards,привязка карта здравствуйте,25,25,3,38,33,33,885,0.6578947368421053,0.7575757575757576,0.02824858757062147,0.054466230936819175,15
billing.cards,карта произойти,37,29,2,49,31,31,885,0.7551020408163265,0.9354838709677419,0.0327683615819209,0.06331877729257641,13
billing.cards,привязываться карта,40,36,2,52,40,39,885,0.7692307692307693,0.9,0.04067796610169491,0.07783783783783783,8
billing.cards,мочь привязать карта,79,71,3,129,92,91,885,0.6124031007751938,0.7717391304347826,0.08022598870056497,0.14534288638689866,2
