sku_id,sku_name,is_committed,sku_lazy,service_long_name,service_name,subservice_name,cores,cores_number,ram,ram_number,database,core_fraction,core_fraction_number,preemptible,platform,service_group,mk8s_relevant,is_sustainable
dn23ic8i6h58vbjnonir,ai.adjustment.kop,0,0,ML Services,cloud_ai,adjustment,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,0
dn2tiss9h3jt2b8fnq9u,ai.locator,0,0,ML Services,cloud_ai,locator,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2kflnqsib4se6md100,ai.mt.detect,0,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2tog20ktjlo6qcp94f,ai.mt.translate,0,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2a7f3fvgqj48op6o1u,ai.mt.translate_custom,0,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2a572mhk1urociqg1i,ai.mt.translate_nmtlight,0,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2r43s4shg50807iuud,ai.mt.translate_nmtlight.fixed_consumption,1,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn21g7iangrep92enarm,ai.mt.translate_nmtlight.monthly_usage.v1,1,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2aisla02f81rbvd6ka,ai.mt.translate.fixed_consumption,0,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn205gl69uje79drbibb,ai.mt.translate.monthly_usage.v1,1,0,ML Services,cloud_ai,mt,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2ros0tjkji0m8inqap,ai.speech.stt,0,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn29fdr53kaa7oqdo5c7,ai.speech.stt_long_running,0,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn20umtdpam1mh045kv6,ai.speech.stt_long_running.fixed_consumption,1,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2fcr7r31nt3qbouvi7,ai.speech.stt_long_running.monthly_usage.v1,1,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2bl6fgcb8hnqvhhs1o,ai.speech.stt.fixed_consumption,0,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2f46fv3p007jdpsq8r,ai.speech.stt.monthly_usage.v1,1,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2hokdrmk72rtdms2oa,ai.speech.tts,0,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2q7sk8h80e4k7ldt6h,ai.speech.tts_gpu,0,0,ML Services,cloud_ai,speech,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2dos0pf7so9s6ej6d5,ai.vision.classification,0,0,ML Services,cloud_ai,vision,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn25ebmfmtgph0jikbaj,ai.vision.document_recognition.passport,0,0,ML Services,cloud_ai,vision,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2s0kmmmelrv14p6k4h,ai.vision.face_detection,0,0,ML Services,cloud_ai,vision,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn22kffc5tet0dq0i4n5,ai.vision.image_copy_search,0,0,ML Services,cloud_ai,vision,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2c5ah00phrp2qcq9e8,ai.vision.text_detection,0,0,ML Services,cloud_ai,vision,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,ML and AI,0,1
dn2gnu9gs67vf056r8dj,compute.image,0,1,Compute,compute,image,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,Infrastructure,0,1
dn2s7s6j0kvjugdnditj,compute.image.adjustment.kop,0,0,Compute,compute,image,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,Infrastructure,0,1
dn2d7s257l01hsl9rc6d,compute.snapshot,0,1,Compute,compute,snapshot,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,Infrastructure,0,1
dn2i3j5kt17b1d7bp0i3,compute.snapshot.adjustment.kop,0,0,Compute,compute,snapshot,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,Infrastructure,0,1
dn2mct2ol7gq1ururuf1,compute.vm.cpu.50.mdb.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,50,50,full,v2,Infrastructure,0,1
dn2qbqi1am9oq6oc9s05,compute.vm.cpu.50.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,50,50,full,v2,Infrastructure,1,1
dn2prnar650higurgp47,compute.vm.cpu.adjustment.kop,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,inapplicable,-1,inapplicable,inapplicable,Infrastructure,0,1
dn2pm2gap1cc09a33s06,compute.vm.cpu.c05,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,v1,Infrastructure,1,1
dn2dokqctdtlme39ma81,compute.vm.cpu.c05.dev.v1,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,inapplicable,Infrastructure,0,1
dn2qka8kqgt7860a34is,compute.vm.cpu.c05.dev.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,inapplicable,Infrastructure,0,1
dn2g98n70r8u4acd06eh,compute.vm.cpu.c05.dev.v3,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,inapplicable,Infrastructure,0,1
dn22iim3djs3o92i5ltl,compute.vm.cpu.c05.dev.v4,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,inapplicable,Infrastructure,0,1
dn273h8hhci2r8vu8qo9,compute.vm.cpu.c05.dev.v5,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,inapplicable,Infrastructure,0,1
dn2tju54eus4df7465lc,compute.vm.cpu.c05.mdb.v1,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,v1,Infrastructure,0,1
dn23ha34dnv32qts24mt,compute.vm.cpu.c05.mdb.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,full,v2,Infrastructure,0,1
dn2g5qo1211n5k8i1s3v,compute.vm.cpu.c05.preemptible,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,v1,Infrastructure,1,1
dn2pnoscgkjpav63uo9b,compute.vm.cpu.c05.preemptible.dev.v1,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,inapplicable,Infrastructure,0,1
dn2o2g3u76lmf5l3er0i,compute.vm.cpu.c05.preemptible.dev.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,inapplicable,Infrastructure,0,1
dn21pco30nlieto81mmb,compute.vm.cpu.c05.preemptible.dev.v3,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,inapplicable,Infrastructure,0,1
dn2lon0h7rk8iebai5vt,compute.vm.cpu.c05.preemptible.dev.v4,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,inapplicable,Infrastructure,0,1
dn2ss87e0ic8veouratm,compute.vm.cpu.c05.preemptible.dev.v5,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,inapplicable,Infrastructure,0,1
dn2dksll6t32n873m6t0,compute.vm.cpu.c05.preemptible.mdb.v1,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,v1,Infrastructure,0,1
dn26k37v2g5h33k1rc2d,compute.vm.cpu.c05.preemptible.mdb.v2,0,0,Compute,compute,cpu,inapplicable,-1,inapplicable,-1,inapplicable,5,5,preemptible,v2,Infrastructure,0,1
