iter	Logloss
0	0.5704530933
1	0.474844803
2	0.460929901
3	0.4327013131
4	0.4217478843
5	0.4158947558
6	0.407757213
7	0.4025931001
8	0.3947133376
9	0.3905948248
10	0.3890635172
11	0.3872227069
12	0.3862040682
13	0.3814001653
14	0.3786158377
15	0.3780170357
16	0.3776854423
17	0.3766303374
18	0.3747699064
19	0.3744666545
20	0.3738133252
21	0.3733519929
22	0.3728159505
23	0.371781571
24	0.3711542722
25	0.3694073113
26	0.3685298539
27	0.3681878199
28	0.3669422131
29	0.3666855657
30	0.3663512812
31	0.3658944837
32	0.3648340408
33	0.3642644239
34	0.3635919546
35	0.3630117459
36	0.3625546271
37	0.3609132045
38	0.3604711028
39	0.3597757941
40	0.3590273776
41	0.3583494532
42	0.3577376862
43	0.357239719
44	0.3568866922
45	0.3565899038
46	0.3563252684
47	0.3555390791
48	0.3551070531
49	0.3538234094
50	0.3536640521
51	0.3532499886
52	0.3523757244
53	0.3519431741
