iter	Passed	Remaining
0	20	20961
1	44	22311
2	65	21769
3	85	21408
4	106	21122
5	129	21503
6	149	21143
7	169	20999
8	192	21248
9	212	20992
10	235	21137
11	255	21077
12	277	21050
13	297	20967
14	318	20896
15	340	20915
16	362	20944
17	381	20834
18	401	20725
19	422	20717
20	443	20698
21	467	20761
22	486	20682
23	510	20761
24	531	20732
25	554	20777
26	574	20695
27	595	20667
28	614	20584
29	635	20552
30	655	20500
31	679	20546
32	702	20574
33	722	20518
34	741	20437
35	761	20387
36	783	20385
37	803	20328
38	823	20302
39	847	20338
40	867	20294
41	889	20285
42	909	20242
43	929	20198
44	949	20148
45	968	20090
46	990	20081
47	1012	20073
48	1034	20081
49	1056	20072
50	1077	20051
51	1100	20057
52	1123	20069
53	1142	20014
