cloud_id,disk_cnt
b1g0dsq9cl0471eqgvgp,1
b1g0jvmddit35pakvu0a,1
b1g0qf41lpeu9qcmocef,2
b1g0ulnqvfjdh6ah06iv,6
b1g0upuhr92pva81vnd3,1
b1g0vshgpadbdb18d1ms,2
b1g11jca11cbn2s124tr,1
b1g14r949tsnak8t2keu,1
b1g1eau3n63jon7ftajs,2
b1g1emj927uvo97q62lt,120
b1g1erm96p392nbd5ke3,35
b1g1f1240stdp0p1vl3t,29
b1g1p9g7tjtdscj38jen,1
b1g1ub0mp64cehcjpq0u,3
b1g1vumvlsongma3ut8b,1
b1g20c6u6in4llj6ed6r,1
b1g20hgnog5gekh1m5q8,10
b1g25gm5d5n5v66qbhg4,59
b1g26nlrocq68kpsu2o3,4
b1g28ua2emn42ss1rdim,1
b1g29mq5s87rhuo5ef8a,1
b1g2av4402v5nbbk8k5p,2
b1g2u1ibp6hvb06u39ef,48
b1g2v1a02r90qnfboi24,1
b1g31kfe5j3i0196jmug,5
b1g31pj824h26h522rfj,1
b1g35l2kp1f85l4qatkr,3
b1g3ei9rcs3bd7jmejkg,1
b1g3l780tim7jdgrtj7a,2
b1g3m0mcv5q5har6v1fa,1
b1g3ms56vn9h3clmgi3l,2
b1g3o4minpkuh10pd2rj,68
b1g3qed8dc49s74himr9,2
b1g3rup60qrj3d42vjh6,2
b1g3s6m4uktlfg9ttont,1
b1g47coaeblndgbkano3,3
b1g48i9i2u51am6cnnnd,32
b1g48t0rk4puqohkjlbb,3
b1g4c8c4dcgm92l3fiv9,2
b1g4crutja60h4uho3su,1
b1g4dghuu3kl7rte752p,1
b1g4i3rfjg289usbofgn,5
b1g4lp7o2fv9l0frtf06,1
b1g4mc2941luo27kg24s,5
b1g4org6i7t7q8hs1cnk,23583
b1g4rt3mh6u8fsq5vngv,6
b1g4s7nnhh13c5172u8e,4
b1g4sgqs575pajguv3m7,3
b1g4stc486f5riicgfcf,1
b1g51pr4ojms1qjlct8c,9
b1g56unrjf7bvln8qcg6,1
b1g58ha713fmosfm1ksi,56
b1g5das811gmvlf90tdc,1
b1g5krs75sf8229ifdd9,1
b1g5ksege5phal91eale,26
b1g5nddmglrvmoiuvdn0,1
b1g5q8h52km0rg0tf67a,1
b1g63t8lu05162rjrr02,2
b1g65a70a346cjkvdpae,1
b1g6aof081ck5rv6m4jb,2
b1g6c9uoghdsbnkv0dtn,1
b1g6d9jjopqe70ik8e3t,3
b1g6j3q4km5vhok0ufc1,9
b1g6o0f8q2s1ncbhofqu,1
